,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,YEAR,MONTH,Unnamed: 12
11829,4.0,4069.0,LDQ,Sparfell Luftfahrt GmbH,12344,INN,"Innsbruck, Austria",11618,EWR,"Newark, NJ",2021,5,
11830,4.0,2402.0,5Y,Atlas Air Inc.,13303,MIA,"Miami, FL",13166,MAO,"Manaus, Brazil",2021,4,
11831,4.0,184.0,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14819,SIG,"San Juan, PR",13068,LRM,"La Romana, Dominican Republic",2021,6,
11832,4.0,948.0,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",14832,SJD,"San Jose del Cabo, Mexico",12889,LAS,"Las Vegas, NV",2021,6,
11833,4.0,911.0,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",14832,SJD,"San Jose del Cabo, Mexico",12892,LAX,"Los Angeles, CA",2021,6,
11834,4.0,42.0,KAH,Kenmore Air Harbor,16263,YYJ,"Victoria, Canada",10666,BLI,"Bellingham, WA",2021,7,
11835,4.0,578.0,KAH,Kenmore Air Harbor,15041,SUN,"Sun Valley/Hailey/Ketchum, ID",16229,YVR,"Vancouver, Canada",2021,7,
11836,4.0,115.0,KAH,Kenmore Air Harbor,13002,LKE,"Seattle, WA",16229,YVR,"Vancouver, Canada",2021,7,
11837,4.0,1545.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",13398,MMU,"Morristown, NJ",11032,CUN,"Cancun, Mexico",2021,7,
11838,4.0,1915.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",11185,CUR,"Willemstad, Curacao",12264,IAD,"Washington, DC",2021,7,
11839,4.0,992.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",16229,YVR,"Vancouver, Canada",12889,LAS,"Las Vegas, NV",2021,7,
11840,4.0,2005.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",10423,AUS,"Austin, TX",14293,PUJ,"Punta Cana, Dominican Republic",2021,7,
11841,4.0,3621.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",10517,BCN,"Barcelona, Spain",14259,PSM,"Portsmouth, NH",2021,7,
11842,4.0,786.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",14736,SDM,"San Diego, CA",14832,SJD,"San Jose del Cabo, Mexico",2021,7,
11843,4.0,928.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",14832,SJD,"San Jose del Cabo, Mexico",15618,VNY,"Van Nuys, CA",2021,7,
11844,4.0,1332.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",14153,PLS,"Providenciales, Turks and Caicos Islands",12197,HPN,"White Plains, NY",2021,7,
11845,4.0,790.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",16443,CSL,"Cabo San Lucas, Mexico",14736,SDM,"San Diego, CA",2021,7,
11846,4.0,2201.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",10857,C01,"Camarillo, CA",16271,YYZ,"Toronto, Canada",2021,7,
11847,4.0,5672.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",10549,BER,"Berlin, Germany",13796,OAK,"Oakland, CA",2021,7,
11848,4.0,1414.0,NLQ,Nolinor Aviation,13303,MIA,"Miami, FL",16128,YMX,"Montreal, Canada",2021,7,
11849,4.0,1697.0,HAQ,Hamilton Jetport Limited,10444,AXA,"The Valley, Anguilla",12197,HPN,"White Plains, NY",2021,3,
11850,4.0,1697.0,HAQ,Hamilton Jetport Limited,12197,HPN,"White Plains, NY",10444,AXA,"The Valley, Anguilla",2021,3,
11851,4.0,1178.0,HAQ,Hamilton Jetport Limited,16078,YHM,"Hamilton, Canada",10329,APF,"Naples, FL",2021,3,
11852,4.0,1225.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",13898,OPF,"Miami, FL",16271,YYZ,"Toronto, Canada",2021,1,
11853,4.0,1704.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",15084,SXM,"Philipsburg, Sint Maarten",14050,PDK,"Atlanta, GA",2021,1,
11854,4.0,2147.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",15356,TTN,"Trenton, NJ",12990,LIR,"Liberia, Costa Rica",2021,1,
11855,4.0,1526.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",15513,UVF,"St. Lucia, Saint Lucia",14027,PBI,"West Palm Beach/Palm Beach, FL",2021,1,
11856,4.0,1704.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",14050,PDK,"Atlanta, GA",15084,SXM,"Philipsburg, Sint Maarten",2021,1,
11857,4.0,392.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",13289,MHH,"Marsh Harbour, The Bahamas",12451,JAX,"Jacksonville, FL",2021,1,
11858,4.0,2739.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",13605,NAS,"Nassau, The Bahamas",14831,SJC,"San Jose, CA",2021,1,
11859,4.0,2521.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",16306,ZLO,"Manzanillo, Mexico",10540,BED,"Bedford, MA",2021,2,
11860,4.0,1143.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",11519,EIS,"Road Town, British Virgin Islands",14027,PBI,"West Palm Beach/Palm Beach, FL",2021,2,
11861,4.0,3193.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",11435,DUB,"Dublin, Ireland",11618,EWR,"Newark, NJ",2021,2,
11862,4.0,1126.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",13605,NAS,"Nassau, The Bahamas",12197,HPN,"White Plains, NY",2021,2,
11863,4.0,5029.0,VJT,VistaJet Limited,11618,EWR,"Newark, NJ",16858,ISL,"Istanbul, Turkey",2021,3,
11864,4.0,531.0,VJT,VistaJet Limited,13303,MIA,"Miami, FL",11032,CUN,"Cancun, Mexico",2021,3,
11865,4.0,1252.0,VJT,VistaJet Limited,13605,NAS,"Nassau, The Bahamas",10540,BED,"Bedford, MA",2021,3,
11866,4.0,5029.0,VJT,VistaJet Limited,16858,ISL,"Istanbul, Turkey",11618,EWR,"Newark, NJ",2021,3,
11867,4.0,2015.0,VJT,VistaJet Limited,12990,LIR,"Liberia, Costa Rica",12264,IAD,"Washington, DC",2021,3,
11868,4.0,5901.0,VJT,VistaJet Limited,15604,VKO,"Moscow, Russia",14771,SFO,"San Francisco, CA",2021,3,
11869,4.0,2477.0,VJT,VistaJet Limited,10711,BOG,"Bogota, Colombia",11618,EWR,"Newark, NJ",2021,3,
11870,4.0,5428.0,IFQ,FAI rent-a-jet AG,13094,LTN,"London, United Kingdom",15618,VNY,"Van Nuys, CA",2021,3,
11871,5.0,1233.0,13Q,Chartright Air Inc.,16271,YYZ,"Toronto, Canada",13303,MIA,"Miami, FL",2021,3,
11872,5.0,731.0,13Q,Chartright Air Inc.,16271,YYZ,"Toronto, Canada",12217,HSV,"Huntsville, AL",2021,3,
11873,5.0,731.0,13Q,Chartright Air Inc.,12217,HSV,"Huntsville, AL",16271,YYZ,"Toronto, Canada",2021,3,
11874,5.0,5739.0,36Q,Air Hamburg Luftverkehrsgesellschaft mbH,15604,VKO,"Moscow, Russia",13303,MIA,"Miami, FL",2021,3,
11875,5.0,3609.0,AOQ,Avon Jet AG,11070,CMN,"Casablanca, Morocco",12478,JFK,"New York, NY",2021,4,
11876,5.0,4800.0,AA,American Airlines Inc.,12972,LHR,"London, United Kingdom",14747,SEA,"Seattle, WA",2021,3,
11877,5.0,6952.0,IFQ,FAI rent-a-jet AG,14100,PHL,"Philadelphia, PA",16531,AZI,"Abu Dhabi, United Arab Emirates",2021,5,
11878,5.0,366.0,13Q,Chartright Air Inc.,12478,JFK,"New York, NY",16271,YYZ,"Toronto, Canada",2021,5,
11879,5.0,1864.0,13Q,Chartright Air Inc.,16271,YYZ,"Toronto, Canada",14712,SCF,"Phoenix, AZ",2021,5,
11880,5.0,1348.0,13Q,Chartright Air Inc.,16271,YYZ,"Toronto, Canada",11122,CPR,"Casper, WY",2021,5,
11881,5.0,792.0,13Q,Chartright Air Inc.,12124,HHH,"Hilton Head, SC",16271,YYZ,"Toronto, Canada",2021,5,
11882,5.0,1105.0,13Q,Chartright Air Inc.,15628,VRB,"Vero Beach, FL",16271,YYZ,"Toronto, Canada",2021,5,
11883,5.0,5150.0,15Q,Air Alsie A/S,10637,BJV,"Bodrum, Turkey",11618,EWR,"Newark, NJ",2021,5,
11884,5.0,4902.0,36Q,Air Hamburg Luftverkehrsgesellschaft mbH,13303,MIA,"Miami, FL",13625,NCE,"Nice, France",2021,5,
11885,5.0,5357.0,36Q,Air Hamburg Luftverkehrsgesellschaft mbH,13796,OAK,"Oakland, CA",15018,STN,"London, United Kingdom",2021,5,
11886,5.0,1854.0,UA,United Air Lines Inc.,13162,MAJ,"Majuro, Marshall Islands",12016,GUM,"Guam, TT",2021,6,
11887,5.0,449.0,14Q,London Air Services Limited,10559,BFI,"Seattle, WA",16257,YYC,"Calgary, Canada",2021,6,
11888,5.0,1196.0,HAQ,Hamilton Jetport Limited,16097,YKF,"Kitchener, Canada",10329,APF,"Naples, FL",2021,4,
11889,5.0,201.0,04Q,Tradewind Aviation,10444,AXA,"The Valley, Anguilla",14819,SIG,"San Juan, PR",2021,6,
11890,5.0,29.0,04Q,Tradewind Aviation,15024,STT,"Charlotte Amalie, VI",11519,EIS,"Road Town, British Virgin Islands",2021,6,
11891,5.0,201.0,04Q,Tradewind Aviation,14819,SIG,"San Juan, PR",10444,AXA,"The Valley, Anguilla",2021,6,
11892,5.0,194.0,04Q,Tradewind Aviation,14843,SJU,"San Juan, PR",10444,AXA,"The Valley, Anguilla",2021,6,
11893,5.0,5845.0,VJT,VistaJet Limited,12892,LAX,"Los Angeles, CA",13156,MAD,"Madrid, Spain",2021,6,
11894,5.0,5359.0,VJT,VistaJet Limited,14771,SFO,"San Francisco, CA",10357,ARN,"Stockholm, Sweden",2021,6,
11895,5.0,6469.0,VJT,VistaJet Limited,14771,SFO,"San Francisco, CA",15306,TPE,"Taipei, Taiwan",2021,6,
11896,5.0,1104.0,VJT,VistaJet Limited,13605,NAS,"Nassau, The Bahamas",12953,LGA,"New York, NY",2021,6,
11897,5.0,4158.0,VJT,VistaJet Limited,16321,ZRH,"Zurich, Switzerland",12264,IAD,"Washington, DC",2021,6,
11898,5.0,5027.0,VJT,VistaJet Limited,12516,JMK,"Mikonos Island, Greece",15167,TEB,"Teterboro, NJ",2021,6,
11899,5.0,1699.0,VJT,VistaJet Limited,13029,LNK,"Lincoln, NE",11907,GGT,"Moss Town, The Bahamas",2021,6,
11900,5.0,192.0,2LQ,Tropic Ocean Airways LLC,16845,BS3,"Baker Bay, The Bahamas",11697,FLL,"Fort Lauderdale, FL",2021,6,
11901,5.0,184.0,2LQ,Tropic Ocean Airways LLC,13605,NAS,"Nassau, The Bahamas",13303,MIA,"Miami, FL",2021,6,
11902,5.0,928.0,27Q,"Jet Aviation Flight Services, Inc.",15618,VNY,"Van Nuys, CA",14832,SJD,"San Jose del Cabo, Mexico",2021,6,
11903,5.0,928.0,27Q,"Jet Aviation Flight Services, Inc.",14832,SJD,"San Jose del Cabo, Mexico",15618,VNY,"Van Nuys, CA",2021,6,
11904,5.0,4017.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",13518,MUC,"Munich, Germany",12197,HPN,"White Plains, NY",2021,3,
11905,5.0,2128.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",11032,CUN,"Cancun, Mexico",15618,VNY,"Van Nuys, CA",2021,3,
11906,5.0,1582.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",12197,HPN,"White Plains, NY",14293,PUJ,"Punta Cana, Dominican Republic",2021,3,
11907,5.0,4017.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",12197,HPN,"White Plains, NY",13518,MUC,"Munich, Germany",2021,3,
11908,5.0,2716.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",15618,VNY,"Van Nuys, CA",13180,MBJ,"Montego Bay, Jamaica",2021,3,
11909,5.0,1332.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",14153,PLS,"Providenciales, Turks and Caicos Islands",12197,HPN,"White Plains, NY",2021,3,
11910,5.0,1218.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",14312,PVR,"Puerto Vallarta, Mexico",12892,LAX,"Los Angeles, CA",2021,4,
11911,5.0,915.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",16443,CSL,"Cabo San Lucas, Mexico",12892,LAX,"Los Angeles, CA",2021,4,
11912,5.0,1755.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",10470,AZS,"Samana, Dominican Republic",12191,HOU,"Houston, TX",2021,4,
11913,5.0,1555.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",14293,PUJ,"Punta Cana, Dominican Republic",11728,FOK,"Westhampton, NY",2021,5,
